prev_address,state,county,city,NHGISST,NHGISCTY,ICPSRFIP,STATEFIP,COUNTYICP
81020,Alaska,Second Judicial Dist,NA,025,0075
81030,Alaska,Third Judicial Dist,NA,025,0115
81031,Alaska,Third Judicial Dist,Anchorage,025,0115
81040,Alaska,Fourth Judicial Dist,NA,025,0035
81041,Alaska,Fourth Judicial Dist,Fairbanks,025,0035
11110,Washington,Clallam,NA,530,0090,53009,53,90
11112,Washington,Clallam,Port Angeles,530,0090,53009,53,90
11123,Washington,Grays Harbor,NA,530,0270,53027,53,270
11130,Washington,Jefferson,NA,530,0310,53031,53,310
11131,Washington,Jefferson,Port Townsend,530,0310,53031,53,310
11140,Washington,Pacific,NA,530,0490,53049,53,490
11141,Washington,Pacific,Raymond,530,0490,53049,53,490
11150,Washington,Wahkiakum,Cathlamet,530,0690,53069,53,690
112&0,Washington,Whatcom,NA,530,0730,53073,53,730
112&3,Washington,Whatcom,NA,530,0730,53073,53,730
112&4,Washington,Whatcom,Bellingham,530,0730,53073,53,730
112-0,Washington,Thurston,NA,530,0670,53067,53,670
112-3,Washington,Thurston,Olympia,530,0670,53067,53,670
11200,Washington,Snohomish,NA,530,0610,53061,53,610
11204,Washington,Snohomish,Everett,530,0610,53061,53,610
11210,Washington,Clark,NA,530,0110,53011,53,110
11213,Washington,Clark,Vancouver,530,0110,53011,53,110
11222,Washington,Cowlitz,Kelso,530,0150,53015,53,150
11223,Washington,Cowlitz,Longview,530,0150,53015,53,150
11233,Washington,Island,NA,530,0290,53029,53,290
11240,Washington,Kitsap,NA,530,0350,53035,53,350
11243,Washington,Kitsap,Bremerton,530,0350,53035,53,350
11250,Washington,Lewis,NA,530,0410,53041,53,410
11251,Washington,Lewis,Chehalis,530,0410,53041,53,410
11252,Washington,Lewis,Centralia,530,0410,53041,53,410
11261,Washington,Mason,Shelton,530,0450,53045,53,450
11270,Washington,San Juan,Friday Harbor,530,0550,53055,53,550
11280,Washington,Skagit,NA,530,0570,53057,53,570
11281,Washington,Skagit,NA,530,0570,53057,53,570
11282,Washington,Skagit,Anacortes,530,0570,53057,53,570
11310,Washington,Benton,NA,530,0050,53005,53,50
11314,Washington,Benton,NA,530,0050,53005,53,50
11320,Washington,Chelan,NA,530,0070,53007,53,70
11323,Washington,Chelan,Wenatchee,530,0070,53007,53,70
11350,Washington,Klikatat,NA,530,0390,53039,53,390
11390,Washington,Yakima,NA,530,0770,53077,53,770
11391,Washington,Yakima,Toppenish,530,0770,53077,53,770
11394,Washington,Yakima,Yakima,530,0770,53077,53,770
11401,Washington,Whitman,NA,530,0750,53075,53,750
11421,Washington,Asotin,Clarkston,530,0030,53003,53,30
11451,Washington,Franklin,Pasco,530,0210,53021,53,210
11510,Washington,King,NA,530,0330,53033,53,330
11511,Washington,King,NA,530,0330,53033,53,330
11512,Washington,King,NA,530,0330,53033,53,330
11514,Washington,King,Seattle,530,0330,53033,53,330
11520,Washington,Pierce,NA,530,0530,53053,53,530
11521,Washington,Pierce,NA,530,0530,53053,53,530
11522,Washington,Pierce,Puyallup,530,0530,53053,53,530
11524,Washington,Pierce,Tacoma,530,0530,53053,53,530
11614,Washington,Spokane,Spokane,530,0630,53063,53,630
121&1,Oregon,Yamhill,NA,410,0710,41071,41,710
121-0,Oregon,Washington,NA,410,0670,41067,41,670
121-1,Oregon,Washington,NA,410,0670,41067,41,670
12101,Oregon,Tillamook,NA,410,0570,41057,41,570
12112,Oregon,Benton,NA,410,0030,41003,41,30
12120,Oregon,Clatsop,NA,410,0070,41007,41,70
12123,Oregon,Clatsop,NA,410,0070,41007,41,70
12130,Oregon,Columbia,NA,410,0090,41009,41,90
12140,Oregon,Hood River,NA,410,0270,41027,41,270
12141,Oregon,Hood River,NA,410,0270,41027,41,270
12153,Oregon,Lane,NA,410,0390,41039,41,390
12160,Oregon,Lincoln,NA,410,0410,41041,41,410
12170,Oregon,Linn,NA,410,0430,41043,41,430
12180,Oregon,Marion,NA,410,0470,41047,41,470
12184,Oregon,Marion,NA,410,0470,41047,41,470
12190,Oregon,Polk,NA,410,0530,41053,41,530
12191,Oregon,Polk,NA,410,0530,41053,41,530
12240,Oregon,Jackson,NA,410,0290,41029,41,290
12243,Oregon,Jackson,NA,410,0290,41029,41,290
12320,Oregon,Jefferson,NA,410,0310,41031,41,310
12360,Oregon,Wasco,NA,410,0650,41065,41,650
12362,Oregon,Wasco,NA,410,0650,41065,41,650
12430,Oregon,Deschutes,NA,410,0170,41017,41,170
12510,Oregon,Clackamas,NA,410,0050,41005,41,50
12511,Oregon,Clackamas,NA,410,0050,41005,41,50
12512,Oregon,Clackamas,NA,410,0050,41005,41,50
12514,Oregon,Clackamas,NA,410,0050,41005,41,50
12520,Oregon,Multnomah,NA,410,0510,41051,41,510
12521,Oregon,Multnomah,NA,410,0510,41051,41,510
12523,Oregon,Multnomah,NA,410,0510,41051,41,510
12524,Oregon,Multnomah,NA,410,0510,41051,41,510
13&10,California,San Diego,El Cajon,060,0730,6073,6,730
13&11,California,San Diego,Escondido/La Mesa/Oceanside,060,0730,6073,6,730
13&12,California,San Diego,Chula Vista/Coronado,060,0730,6073,6,730
13&13,California,San Diego,National City,060,0730,6073,6,730
13&14,California,San Diego,San Diego,060,0730,6073,6,730
13-10,California,Santa Clara,NA,060,0850,6085,6,850
13-11,California,Santa Clara,Gilroy/Los Gatos/Mountain View/Sunnyvale,060,0850,6085,6,850
13-12,California,Santa Clara,Santa Clara,060,0850,6085,6,850
13-13,California,Santa Clara,Palo Alto,060,0850,6085,6,850
13-14,California,Santa Clara,San Jose,060,0850,6085,6,850
13010,California,Los Angeles,NA,060,0370,6037,6,370
13017,California,Los Angeles,NA,060,0370,6037,6,370
1301F,California,Los Angeles,NA,060,0370,6037,6,370
13011,California,Los Angeles,Signal Hill/El Segundo/Glendora/Clarmont/La Verne/Sierra Madre/El Monte/Alhambra,060,0370,6037,6,370
13012,California,Los Angeles,Arcadia/Azusa/Gardena/Culver City/Hawthorne/Hermosa Beach/San Fernando/San Marino/Manhattan Beach/Torrance/Montebello/Monterey Park,060,0370,6037,6,370
13013,California,Los Angeles,South Pasadena/Pomona/Redondo Beach/San Gabriel/Compton/Lynwood/Maywood/Monrovia/Whittier,060,0370,6037,6,370
13014,California,Los Angeles,Belvedere Township/Glendale/Beverly Hills/Huntington Park/Pasadena/Inglewood/Burbank/Santa Monica/Long Beach/South Gate,060,0370,6037,6,370
