prev_address, state, county, city
&&&&&, NA, NA, NA
1100&, Washington, NA, NA
11110, Washington, "Clallam", NA
11112, Washington, "Clallam", "Port Angeles"
11123, Washington, "Grays Harbor", NA
11130, Washington, "Jefferson", NA
11131, Washington, "Jefferson", "Port Townsend"
11140, Washington, "Pacific", NA
11141, Washington, "Pacific", "Raymond"
11150, Washington, "Wahkiakum", "Cathlamet"
112&0, Washington, "Whatcom", NA
112&3, Washington, "Whatcom", NA
112&4, Washington, "Whatcom", "Bellingham"
112-0, Washington, "Thurston", NA
112-3, Washington, "Thurston", "Olympia"
11200, Washington, "Snohomish", NA
11204, Washington, "Snohomish", "Everett"
11210, Washington, "Clark", NA
11213, Washington, "Clark", "Vancouver"
11222, Washington, "Cowlitz", "Kelso"
11223, Washington, "Cowlitz", "Longview"
11233, Washington, "Island", NA
11240, Washington, "Kitsap", NA
11243, Washington, "Kitsap", "Bremerton"
11250, Washington, "Lewis", NA
11251, Washington, "Lewis", "Chehalis"
11252, Washington, "Lewis", "Centralia"
11261, Washington, "Mason", "Shelton"
11270, Washington, "San Juan", "Friday Harbor"
11280, Washington, "Skagit", NA
11281, Washington, "Skagit", NA
11282, Washington, "Skagit", "Anacortes"
11310, Washington, "Benton", NA
11314, Washington, "Benton", NA
11320, Washington, "Chelan",
11323, Washington, "Chelan", "Wenatchee"
11350, Washington, "Klikatat", NA
11390, Washington, "Yakima", NA
11391, Washington, "Yakima", "Toppenish"
11394, Washington, "Yakima", "Yakima"
11401, Washington, "Whitman", NA
11421, Washington, "Asotin", "Clarkston"
11451, Washington, "Franklin", "Pasco"
11510, Washington, "King", NA
11511, Washington, "King", NA
11512, Washington, "King", NA
11514, Washington, "King", "Seattle"
11520, Washington, "Pierce", NA
11521, Washington, "Pierce", NA
11522, Washington, "Pierce", "Puyallup"
11524, Washington, "Pierce", "Tacoma"
11614, Washington, "Spokane", "Spokane"
11914, Washington, NA, NA
121&1, Oregon, "Yamhill",
121-0, Oregon, "Washington",
121-1, Oregon, "Washington",
12101, Oregon, "Tillamook",
12112, Oregon, "Benton",
12120, Oregon, "Clatsop",
12123, Oregon, "Clatsop",
12130, Oregon, "Columbia",
12140, Oregon, "Hood River",
12141, Oregon, "Hood River",
12153, Oregon, "Lane",
12160, Oregon, "Lincoln",
12170, Oregon, "Linn",
12180, Oregon, "Marion",
12184, Oregon, "Marion",
12190, Oregon, "Polk",
12191, Oregon, "Polk",
12240, Oregon, "Jackson",
12243, Oregon, "Jackson",
12320, Oregon, "Jefferson",
12360, Oregon, "Wasco",
