Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,450,0010,South Carolina,Abbeville,48,10,1323464984.6144032,450,0010,South Carolina,Abbeville,48,10,1323464984.6144032,1.0,1
1940,450,0070,South Carolina,Anderson,48,70,1961699225.768563,450,0070,South Carolina,Anderson,48,70,1961699225.768568,1.0,1
1940,130,1050,Georgia,Elbert,44,1050,969213786.7578986,130,1050,Georgia,Elbert,44,1050,969213786.7579004,1.0,1
1940,450,0450,South Carolina,Greenville,48,450,2058784517.7767122,450,0450,South Carolina,Greenville,48,450,2058784517.7767181,1.0,1
1940,450,0470,South Carolina,Greenwood,48,470,1198971944.254751,450,0470,South Carolina,Greenwood,48,470,1198971944.2547505,1.0,1
1940,450,0590,South Carolina,Laurens,48,590,1874732786.797391,450,0590,South Carolina,Laurens,48,590,1874732786.7973924,1.0,1
1940,450,0650,South Carolina,Mccormick,48,650,1020219477.5843537,450,0650,South Carolina,Mccormick,48,650,1020219477.5843555,1.0,1
1940,220,0010,Louisiana,Acadia,45,10,1702799435.648347,220,0010,Louisiana,Acadia,45,10,1702799435.648349,1.0,1
1940,220,0390,Louisiana,Evangeline,45,390,1760218939.9687898,220,0390,Louisiana,Evangeline,45,390,1760218939.9687974,1.0,1
1940,220,0530,Louisiana,Jefferson Davis,45,530,1705651032.2786067,220,0530,Louisiana,Jefferson Davis,45,530,1705651032.2786078,1.0,1
1940,220,0550,Louisiana,Lafayette,45,550,700079662.9665965,220,0550,Louisiana,Lafayette,45,550,700079662.9665978,1.0,1
1940,220,0970,Louisiana,St Landry,45,970,2431951388.6719813,220,0970,Louisiana,St Landry,45,970,2431951388.6719766,1.0,1
1940,220,1130,Louisiana,Vermillion,45,1130,3368920117.064392,220,1130,Louisiana,Vermillion,45,1130,3368920117.0643845,1.0,1
1940,510,0010,Virginia,Accomack,40,10,1191022981.3166268,510,0010,Virginia,Accomack,40,10,1191022981.316632,1.0,1
1940,510,1310,Virginia,Northampton,40,1310,558167623.2216191,510,1310,Virginia,Northampton,40,1310,558167623.2216206,1.0,1
1940,240,0390,Maryland,Somerset,52,350,846857464.2386355,240,0390,Maryland,Somerset,52,350,846857464.2386378,1.0,1
1940,240,0470,Maryland,Worcester,52,450,1233234294.2956614,240,0470,Maryland,Worcester,52,450,1233234294.295661,1.0,1
1940,160,0010,Idaho,Ada,63,10,2746582092.54738,160,0010,Idaho,Ada,63,10,2746582092.547375,1.0,1
1940,160,0150,Idaho,Boise,63,150,4938260079.416659,160,0150,Idaho,Boise,63,150,4938260079.416644,1.0,1
1940,160,0270,Idaho,Canyon,63,270,1563180943.4720187,160,0270,Idaho,Canyon,63,270,1563180943.4720204,1.0,1
1940,160,0390,Idaho,Elmore,63,390,8030979118.199692,160,0390,Idaho,Elmore,63,390,8030979118.199733,1.0,1
1940,160,0450,Idaho,Gem,63,450,1465165637.10705,160,0450,Idaho,Gem,63,450,1465165637.1070518,1.0,1
1940,160,0730,Idaho,Owyhee,63,730,19934271763.79523,160,0730,Idaho,Owyhee,63,730,19934271763.795216,1.0,1
1940,190,0010,Iowa,Adair,31,10,1476995511.632142,190,0010,Iowa,Adair,31,10,1476995511.6321425,1.0,1
1940,190,0030,Iowa,Adams,31,30,1102053239.210041,190,0030,Iowa,Adams,31,30,1102053239.2100432,1.0,1
1940,190,0090,Iowa,Audubon,31,90,1148419863.4258173,190,0090,Iowa,Audubon,31,90,1148419863.425817,1.0,1
1940,190,0290,Iowa,Cass,31,290,1463209681.5155964,190,0290,Iowa,Cass,31,290,1463209681.515595,1.0,1
1940,190,0490,Iowa,Dallas,31,490,1532492183.4696777,190,0490,Iowa,Dallas,31,490,1532492183.4696782,1.0,1
1940,190,0770,Iowa,Guthrie,31,770,1536055443.854964,190,0770,Iowa,Guthrie,31,770,1536055443.8549623,1.0,1
1940,190,1210,Iowa,Madison,31,1210,1455983436.6436632,190,1210,Iowa,Madison,31,1210,1455983436.6436653,1.0,1
1940,190,1750,Iowa,Union,31,1750,1102822327.1441247,190,1750,Iowa,Union,31,1750,1102822327.1441245,1.0,1
1940,210,0010,Kentucky,Adair,51,10,1067566722.2166426,210,0010,Kentucky,Adair,51,10,1067566722.2166431,1.0,1
1940,210,0450,Kentucky,Casey,51,450,1154745838.3723605,210,0450,Kentucky,Casey,51,450,1154745838.372358,1.0,1
1940,210,0570,Kentucky,Cumberland,51,570,805130715.024783,210,0570,Kentucky,Cumberland,51,570,805130715.0247809,1.0,1
1940,210,0870,Kentucky,Green,51,870,747737635.5115389,210,0870,Kentucky,Green,51,870,747737635.5115372,1.0,1
1940,210,1690,Kentucky,Metcalfe,51,1690,754012105.2157271,210,1690,Kentucky,Metcalfe,51,1690,754012105.215726,1.0,1
