YEAR,STATEFIP,COUNTYICP,mean_wage,pop,pop_wh,pop_bl,pop_ch,pop_jp
1940,1,10,240.6646140247299,20983,9778,11205,0,0
1940,1,30,476.34309914642023,32384,24575,7797,0,0
1940,1,50,242.6259805732809,32737,14559,18178,0,0
1940,1,70,290.0606105446442,13896,8765,5125,0,0
1940,1,70,301.5792609869889,6277,4766,1510,0,0
1940,1,90,158.63973055333406,29913,28453,1459,0,0
1940,1,110,210.82436198494344,19825,4367,15458,0,0
1940,1,130,277.73783090085556,32847,16901,15946,0,0
1940,1,150,401.67410629599186,11138,9814,1324,0,0
1940,1,150,502.95838955384414,52237,40579,11656,2,0
1940,1,170,434.0905436675149,42166,24189,17935,0,0
1940,1,190,199.63043720930412,5597,4995,602,0,0
1940,1,190,134.1842316513752,14348,13278,1069,0,0
1940,1,210,219.89591137446314,27983,23532,4450,0,0
1940,1,230,139.3698371559632,20217,9475,10742,0,0
1940,1,250,219.06552380952616,27716,13255,14456,0,0
1940,1,270,170.06019320337913,9736,8296,1440,0,0
1940,1,270,166.27852097130167,7177,5994,1183,0,0
1940,1,290,189.72039196403566,13640,12641,999,0,0
1940,1,310,208.54129145273555,32134,25567,6566,0,0
1940,1,330,501.8900905174398,34190,25600,8590,0,0
1940,1,350,144.8219351834627,12859,7350,5509,0,0
1940,1,350,270.38548762736997,12834,6919,5915,0,0
1940,1,370,275.89904818737773,13461,8562,4898,0,0
1940,1,390,325.98189094182,42423,35518,6901,4,0
1940,1,410,204.3801140311796,23638,15838,7800,0,0
1940,1,430,508.7306945765945,7644,7516,128,0,0
1940,1,430,97.07563259322029,39709,39257,451,0,0
1940,1,450,216.16761112049954,22713,17679,5034,0,0
1940,1,470,182.73371227193206,37578,6505,31073,0,0
1940,1,470,573.6073355075348,17660,7974,9686,0,0
1940,1,490,180.5335883904982,43091,42283,807,0,0
1940,1,510,356.6974753463489,34427,20784,13641,0,0
1940,1,530,341.2395208070612,4822,2420,2402,0,0
1940,1,530,491.4350778688504,25871,18208,7353,0,0
1940,1,550,592.1045897441924,72609,62026,10582,0,0
1940,1,570,498.5220988725069,1520,1189,331,0,0
1940,1,570,157.91365690569066,20150,17414,2736,0,0
1940,1,590,190.90557883130668,27567,26131,1436,0,0
1940,1,610,261.60359468517953,29191,25238,3952,0,0
1940,1,630,120.65702265660066,19193,3095,16097,0,0
1940,1,650,255.47503457216723,3899,1766,2133,0,0
1940,1,650,109.31518532583591,21335,5318,16017,0,0
1940,1,670,148.58264849507583,21846,11169,10677,0,0
1940,1,690,365.96446239041705,45733,31123,14609,0,0
1940,1,710,263.2112729844337,11086,10038,1047,0,0
1940,1,710,196.59980231404424,30755,29181,1574,0,0
1940,1,730,631.673011999997,69245,40558,28652,0,0
1940,1,730,691.566446490973,100000,71721,28279,0,0
1940,1,730,664.2689787315602,23462,10361,13101,0,0
1940,1,750,105.70031630543122,19793,16849,2944,0,0
1940,1,770,403.7086163149095,46471,38920,7551,0,0
