state,county,NHGISST,NHGISCTY,race,sex,birth_yr,bpl,n
Alabama,Jefferson,010,0730,5,0,1921,6,1
Alaska,First Judicial Division,NA,NA,5,0,1879,501,1
Alaska,First Judicial Division,NA,NA,5,0,1886,501,1
Alaska,First Judicial Division,NA,NA,5,0,1891,501,1
Alaska,First Judicial Division,NA,NA,5,0,1908,53,1
Alaska,First Judicial Division,NA,NA,5,0,1911,53,1
Alaska,First Judicial Division,NA,NA,5,0,1912,6,1
Alaska,First Judicial Division,NA,NA,5,0,1913,53,2
Alaska,First Judicial Division,NA,NA,5,0,1915,2,1
Alaska,First Judicial Division,NA,NA,5,0,1915,53,1
Alaska,First Judicial Division,NA,NA,5,0,1916,2,2
Alaska,First Judicial Division,NA,NA,5,0,1916,53,1
Alaska,First Judicial Division,NA,NA,5,0,1918,2,1
Alaska,First Judicial Division,NA,NA,5,0,1918,53,2
Alaska,First Judicial Division,NA,NA,5,0,1921,2,2
Alaska,First Judicial Division,NA,NA,5,0,1921,53,1
Alaska,First Judicial Division,NA,NA,5,0,1923,2,1
Alaska,First Judicial Division,NA,NA,5,0,1924,2,1
Alaska,First Judicial Division,NA,NA,5,0,1925,2,3
Alaska,First Judicial Division,NA,NA,5,0,1926,2,3
Alaska,First Judicial Division,NA,NA,5,0,1927,2,3
Alaska,First Judicial Division,NA,NA,5,0,1929,2,4
Alaska,First Judicial Division,NA,NA,5,0,1930,2,3
Alaska,First Judicial Division,NA,NA,5,0,1930,53,1
Alaska,First Judicial Division,NA,NA,5,0,1931,2,1
Alaska,First Judicial Division,NA,NA,5,0,1933,2,1
Alaska,First Judicial Division,NA,NA,5,0,1934,2,1
Alaska,First Judicial Division,NA,NA,5,0,1937,2,1
Alaska,First Judicial Division,NA,NA,5,0,1938,2,2
Alaska,First Judicial Division,NA,NA,5,0,1939,2,1
Alaska,First Judicial Division,NA,NA,5,0,1941,2,1
Alaska,First Judicial Division,NA,NA,5,1,1887,501,1
Alaska,First Judicial Division,NA,NA,5,1,1888,501,1
Alaska,First Judicial Division,NA,NA,5,1,1889,501,1
Alaska,First Judicial Division,NA,NA,5,1,1890,501,1
Alaska,First Judicial Division,NA,NA,5,1,1894,501,1
Alaska,First Judicial Division,NA,NA,5,1,1895,501,3
Alaska,First Judicial Division,NA,NA,5,1,1897,501,2
Alaska,First Judicial Division,NA,NA,5,1,1898,501,1
Alaska,First Judicial Division,NA,NA,5,1,1899,501,1
Alaska,First Judicial Division,NA,NA,5,1,1902,501,1
Alaska,First Judicial Division,NA,NA,5,1,1905,501,2
Alaska,First Judicial Division,NA,NA,5,1,1906,501,1
Alaska,First Judicial Division,NA,NA,5,1,1907,501,1
Alaska,First Judicial Division,NA,NA,5,1,1914,2,1
Alaska,First Judicial Division,NA,NA,5,1,1918,2,1
Alaska,First Judicial Division,NA,NA,5,1,1918,53,1
Alaska,First Judicial Division,NA,NA,5,1,1919,2,1
Alaska,First Judicial Division,NA,NA,5,1,1920,2,1
Alaska,First Judicial Division,NA,NA,5,1,1921,2,2
Alaska,First Judicial Division,NA,NA,5,1,1922,2,3
Alaska,First Judicial Division,NA,NA,5,1,1923,2,1
Alaska,First Judicial Division,NA,NA,5,1,1923,53,1
Alaska,First Judicial Division,NA,NA,5,1,1926,2,2
Alaska,First Judicial Division,NA,NA,5,1,1927,2,1
Alaska,First Judicial Division,NA,NA,5,1,1927,53,1
Alaska,First Judicial Division,NA,NA,5,1,1929,2,1
Alaska,First Judicial Division,NA,NA,5,1,1931,2,1
Alaska,First Judicial Division,NA,NA,5,1,1932,2,1
Alaska,First Judicial Division,NA,NA,5,1,1934,2,1
Alaska,First Judicial Division,NA,NA,5,1,1935,2,1
Alaska,First Judicial Division,NA,NA,5,1,1937,2,1
Alaska,First Judicial Division,NA,NA,5,1,1939,2,2
Alaska,First Judicial Division,NA,NA,5,1,1940,2,3
Alaska,First Judicial Division,NA,NA,5,1,1941,2,1
Alaska,First Judicial Division,NA,NA,NA,0,1904,501,1
Alaska,First Judicial Division,NA,NA,NA,0,1911,2,1
Alaska,First Judicial Division,NA,NA,NA,0,1920,2,1
Alaska,First Judicial Division,NA,NA,NA,1,1919,2,1
Alaska,First Judicial Division,NA,NA,NA,1,1922,2,1
Alaska,Fourth Judicial Division,NA,NA,5,0,1915,53,2
Alaska,Fourth Judicial Division,NA,NA,5,0,1920,53,1
Alaska,Fourth Judicial Division,NA,NA,5,0,1924,2,1
Alaska,Fourth Judicial Division,NA,NA,5,1,1918,53,1
Alaska,Fourth Judicial Division,NA,NA,5,1,1920,53,1
Alaska,Second Judicial Division,NA,NA,NA,0,1908,2,1
Alaska,Second Judicial Division,NA,NA,NA,0,1910,2,1
Alaska,Second Judicial Division,NA,NA,NA,0,1916,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1893,15,1
Alaska,Third Judicial Division,NA,NA,5,0,1907,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1908,53,1
Alaska,Third Judicial Division,NA,NA,5,0,1912,53,1
Alaska,Third Judicial Division,NA,NA,5,0,1913,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1914,53,1
Alaska,Third Judicial Division,NA,NA,5,0,1915,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1917,53,1
Alaska,Third Judicial Division,NA,NA,5,0,1918,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1921,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1922,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1922,30,1
Alaska,Third Judicial Division,NA,NA,5,0,1922,53,1
Alaska,Third Judicial Division,NA,NA,5,0,1923,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1926,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1929,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1932,2,1
Alaska,Third Judicial Division,NA,NA,5,0,1940,2,2
Alaska,Third Judicial Division,NA,NA,5,0,1941,2,1
Alaska,Third Judicial Division,NA,NA,5,1,1893,501,1
Alaska,Third Judicial Division,NA,NA,5,1,1918,2,1
Alaska,Third Judicial Division,NA,NA,5,1,1919,53,1
Alaska,Third Judicial Division,NA,NA,5,1,1921,53,1
Alaska,Third Judicial Division,NA,NA,5,1,1928,2,1
Alaska,Third Judicial Division,NA,NA,5,1,1942,2,1
Alaska,Third Judicial Division,NA,NA,NA,0,1903,2,1
Alaska,Third Judicial Division,NA,NA,NA,0,1909,15,1
Alaska,Third Judicial Division,NA,NA,NA,0,1917,2,1
Alaska,Third Judicial Division,NA,NA,NA,0,1920,2,1
Alaska,Third Judicial Division,NA,NA,NA,0,1924,2,1
Alaska,Third Judicial Division,NA,NA,NA,0,1930,2,1
Alaska,Third Judicial Division,NA,NA,NA,1,1921,2,1
Alaska,Third Judicial Division,NA,NA,NA,1,1922,2,2
Arizona,Cochise,040,0030,5,0,1923,4,1
Arizona,Cochise,040,0030,5,1,1926,4,1
Arizona,Cochise,040,0030,5,1,1927,4,1
Arizona,Cochise,040,0030,5,1,1929,4,1
Arizona,Cochise,040,0030,NA,0,1921,35,1
Arizona,Gila,040,0070,5,0,1941,4,2
Arizona,Gila,040,0070,5,1,1932,4,1
Arizona,Gila,040,0070,NA,0,1921,4,1
Arizona,Gila,040,0070,NA,1,1918,4,1
Arizona,Gila,040,0070,NA,1,1923,4,1
Arizona,Maricopa,040,0130,5,0,1868,501,1
