STATEFIP,COUNTYICP,SEX,BIRTHYR,BPL,n,p,NHGISST,NHGISCTY
6,370,1,1919,501,20,1.5785195065548023e-4,060,0370
6,370,1,1925,6,465,0.003670057852739915,060,0370
6,370,1,1937,6,243,0.0019179012004640846,060,0370
6,370,1,1920,56,6,4.735558519664407e-5,060,0370
6,370,1,1912,6,151,0.0011917822274488757,060,0370
6,370,1,1901,501,220,0.0017363714572102824,060,0370
6,370,1,1919,6,461,0.003638487462608819,060,0370
6,370,1,1870,501,41,3.2359649884373444e-4,060,0370
6,370,2,1923,6,438,0.003456957719355017,060,0370
6,370,2,1889,501,133,0.0010497154718589435,060,0370
6,370,2,1912,53,17,1.341741580571582e-4,060,0370
6,370,1,1917,53,21,1.6574454818825423e-4,060,0370
6,370,1,1916,49,8,6.314078026219209e-5,060,0370
6,370,2,1930,6,256,0.002020504968390147,060,0370
6,370,2,1897,501,235,0.0018547604202018926,060,0370
6,370,1,1926,53,11,8.681857286051412e-5,060,0370
6,370,1,1887,501,333,0.0026282349784137455,060,0370
6,370,1,1936,6,274,0.0021625717239800793,060,0370
6,370,2,1894,501,189,0.0014917009336942882,060,0370
6,370,1,1920,53,36,2.841335111798644e-4,060,0370
6,370,1,1938,15,1,7.892597532774011e-6,060,0370
6,370,1,1938,6,271,0.002138893931381757,060,0370
6,370,2,1934,6,250,0.001973149383193503,060,0370
6,370,2,1887,501,92,7.261189730152091e-4,060,0370
6,370,2,1885,501,88,6.94548582884113e-4,060,0370
6,370,2,1876,501,35,2.762409136470904e-4,060,0370
6,370,1,1929,49,6,4.735558519664407e-5,060,0370
6,370,2,1924,48,2,1.5785195065548023e-5,060,0370
6,370,2,1928,48,2,1.5785195065548023e-5,060,0370
6,370,2,1885,6,1,7.892597532774011e-6,060,0370
6,370,2,1909,41,1,7.892597532774011e-6,060,0370
6,370,1,1917,56,2,1.5785195065548023e-5,060,0370
6,370,1,1912,15,52,4.1041507170424857e-4,060,0370
6,370,1,1924,53,22,1.7363714572102824e-4,060,0370
6,370,1,1931,53,11,8.681857286051412e-5,060,0370
6,370,1,1914,8,6,4.735558519664407e-5,060,0370
6,370,1,1916,8,10,7.892597532774011e-5,060,0370
6,370,1,1914,49,4,3.1570390131096046e-5,060,0370
6,370,1,1919,15,24,1.8942234078657628e-4,060,0370
6,370,2,1913,53,26,2.0520753585212429e-4,060,0370
6,370,2,1931,49,3,2.3677792598322034e-5,060,0370
6,370,1,1926,32,1,7.892597532774011e-6,060,0370
6,370,2,1897,6,3,2.3677792598322034e-5,060,0370
6,370,2,1911,53,9,7.10333777949661e-5,060,0370
6,370,1,1912,501,35,2.762409136470904e-4,060,0370
6,370,2,1923,501,11,8.681857286051412e-5,060,0370
6,370,2,1931,8,4,3.1570390131096046e-5,060,0370
6,370,1,1936,55,1,7.892597532774011e-6,060,0370
6,370,1,1920,32,6,4.735558519664407e-5,060,0370
6,370,1,1907,49,1,7.892597532774011e-6,060,0370
6,370,2,1925,56,4,3.1570390131096046e-5,060,0370
6,370,1,1885,502,1,7.892597532774011e-6,060,0370
6,370,1,1895,500,1,7.892597532774011e-6,060,0370
6,370,1,1901,15,32,2.5256312104876837e-4,060,0370
6,370,2,1925,53,27,2.1310013338489832e-4,060,0370
6,370,2,1923,36,1,7.892597532774011e-6,060,0370
6,370,2,1868,501,3,2.3677792598322034e-5,060,0370
6,370,2,1897,15,2,1.5785195065548023e-5,060,0370
6,370,1,1901,6,12,9.471117039328814e-5,060,0370
6,370,2,1930,501,5,3.946298766387006e-5,060,0370
6,370,1,1931,16,1,7.892597532774011e-6,060,0370
6,370,2,1887,6,1,7.892597532774011e-6,060,0370
6,370,1,1920,16,5,3.946298766387006e-5,060,0370
6,370,1,1929,8,2,1.5785195065548023e-5,060,0370
6,370,1,1915,48,1,7.892597532774011e-6,060,0370
