id,YEAR,STATEICP,STATEFIP,COUNTYICP,SEX,MARST,BIRTHYR,RACE,RACED,BPL,BPLD,NATIVITY,CITIZEN,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,OCC1950,INCTOT,INCWAGE,INCBUSFM,OCCSCORE,BPL_MOM,BPL_POP,BPL_MOM2,BPL_POP2,BPLD_MOM,BPLD_POP,BPLD_MOM2,BPLD_POP2,NATIVITY_MOM,NATIVITY_POP,NATIVITY_SP,NATIVITY_MOM2,NATIVITY_POP2,married,foreign,college,employed,female
5254,1940,62,8,1150,1,6,1930,5,500,8,800,0,0,2,22,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
4450,1940,71,6,290,2,1,1904,5,500,501,50100,0,3,2,26,3,31,1,999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
8046,1940,71,6,850,1,6,1938,5,500,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,15,501,NA,NA,1500,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
2374,1940,71,6,370,2,1,1899,5,500,501,50100,0,3,0,2,1,10,2,820,NA,200,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
5559,1940,71,6,670,2,1,1894,5,500,501,50100,0,3,2,26,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
9035,1940,71,6,190,2,6,1927,4,400,6,600,0,0,2,25,0,0,0,999,NA,NA,NA,0,500,NA,NA,NA,50000,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,1
10990,1940,65,32,310,1,1,1886,4,400,500,50000,0,3,10,100,1,10,2,75,NA,0,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,0,1,1,0
3279,1940,71,6,390,2,1,1900,5,500,501,50100,5,3,2,23,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,0,1
3100,1940,61,4,130,2,1,1904,4,400,500,50000,0,2,1,17,3,30,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
721,1940,14,42,1010,1,1,1885,4,400,6,600,0,0,2,26,1,10,2,290,NA,0,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
8379,1940,71,6,830,2,1,1908,4,400,500,50000,0,3,4,40,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
761,1940,71,6,670,2,6,1927,5,500,6,600,0,0,2,25,0,0,0,820,NA,NA,NA,9,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
9812,1940,13,36,610,2,1,1908,4,400,44,4400,0,0,8,80,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,1
7757,1940,73,53,330,2,6,1930,5,500,53,5300,0,0,1,17,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
9002,1940,21,17,310,2,1,1902,5,500,501,50100,0,5,2,26,1,10,2,784,NA,0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
9514,1940,71,6,370,1,1,1878,5,500,501,50100,0,3,2,26,1,10,2,100,NA,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
9414,1940,13,36,610,2,1,1902,5,500,501,50100,0,3,6,60,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
6296,1940,13,36,610,2,1,1894,4,400,500,50000,0,3,0,2,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
5845,1940,71,6,190,2,6,1933,5,500,6,600,0,0,1,15,0,0,0,999,NA,NA,NA,0,6,501,NA,NA,600,50100,NA,NA,4,0,NA,NA,NA,0,0,0,0,1
9532,1940,71,6,750,2,1,1908,4,400,500,50000,0,2,99,999,3,31,1,999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
815,1940,71,6,10,2,6,1937,4,400,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
4083,1940,71,6,850,2,1,1897,5,500,501,50100,0,3,3,30,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
5601,1940,71,6,530,2,1,1905,4,400,6,600,0,0,99,999,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
247,1940,71,6,190,2,6,1931,4,400,6,600,4,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
9717,1940,72,41,510,2,1,1905,4,400,150,15010,0,3,10,100,3,31,1,999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,1
9334,1940,12,34,310,1,6,1938,4,400,34,3400,0,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
4444,1940,24,39,610,2,1,1897,4,400,500,50000,0,3,1,16,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
9125,1940,71,6,370,2,1,1906,5,500,6,600,0,0,2,26,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
4072,1940,71,6,370,2,1,1909,4,400,6,600,0,0,2,26,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
10639,1940,72,41,270,1,6,1927,5,500,41,4100,0,0,2,22,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
3423,1940,61,4,190,2,1,1910,4,400,500,50000,0,3,0,2,1,10,2,310,NA,0,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,0,0,1,1
5231,1940,24,39,350,1,2,1901,4,400,500,50000,0,3,1,17,1,10,2,290,NA,540,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
6844,1940,71,6,370,2,1,1897,5,500,501,50100,0,3,2,26,1,10,2,490,NA,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
3552,1940,73,53,330,2,6,1932,5,500,53,5300,0,0,1,16,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
1352,1940,72,41,510,2,6,1931,4,400,41,4100,0,0,1,17,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
3186,1940,71,6,750,2,1,1907,4,400,500,50000,0,1,1,16,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
9356,1940,71,6,370,2,1,1903,5,500,501,50100,0,3,2,23,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
10822,1940,49,48,290,2,1,1905,4,400,500,50000,0,3,1,16,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
522,1940,71,6,370,2,6,1932,5,500,6,600,0,0,1,15,0,0,0,999,NA,NA,NA,0,15,15,NA,NA,1500,1500,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
2635,1940,71,6,130,1,2,1892,5,500,501,50100,0,3,2,26,1,10,2,820,NA,900,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
297,1940,3,25,90,1,1,1887,4,400,6,600,0,0,2,26,1,10,2,290,NA,0,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
4523,1940,73,53,330,1,6,1920,4,400,53,5300,0,0,5,50,3,33,1,999,NA,0,NA,0,NA,500,NA,NA,NA,50000,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
4781,1940,71,6,310,2,6,1934,4,400,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
3803,1940,71,6,670,1,1,1894,4,400,500,50000,0,3,1,16,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,0
4358,1940,71,6,730,1,1,1900,5,500,501,50100,0,3,6,60,1,10,2,100,NA,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,0
1552,1940,71,6,750,1,6,1934,5,500,6,600,0,0,1,14,0,0,0,999,NA,NA,NA,0,6,501,NA,NA,600,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
1919,1940,71,6,10,2,6,1932,5,500,6,600,0,0,1,15,0,0,0,999,NA,NA,NA,0,6,501,NA,NA,600,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
90,1940,71,6,190,2,5,1875,5,500,501,50100,0,3,2,26,3,34,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
10664,1940,71,6,370,2,1,1891,4,400,500,50000,0,3,10,100,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0,1
5823,1940,71,6,830,2,1,1886,4,400,500,50000,0,2,4,40,3,31,1,980,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
5023,1940,71,6,770,2,1,1895,5,500,501,50100,0,3,4,40,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
8442,1940,71,6,610,2,6,1922,5,500,6,600,0,0,6,60,2,22,2,990,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
365,1940,71,6,10,2,1,1903,5,500,501,50100,0,3,2,26,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
8875,1940,71,6,10,2,1,1886,5,500,501,50100,0,3,6,60,1,10,2,36,NA,600,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
7028,1940,71,6,370,1,1,1904,5,500,501,50100,0,3,2,26,3,32,1,100,NA,900,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,0
