STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
6,10,101240,710,2,1,1908,5,1,0,999,7,0,0,0,NA,2,6,10,710,2,1,1908,5,1,0,0,999,0,0,4,0,NA,2
6,10,101250,710,1,1,1900,5,2,0,32,10,0,0,NA,NA,1,6,10,710,1,1,1900,5,2,0,1550,979,10,0,4,NA,NA,1
6,10,101250,710,1,6,1924,5,1,0,999,4,0,0,0,0,1,6,10,710,1,6,1924,5,2,1550,1950,605,10,0,4,0,0,1
6,10,101340,710,1,6,1935,5,0,999999,999,0,0,0,0,0,2,6,130,5871,1,6,1935,5,1,250,450,460,2,0,4,0,NA,2
6,10,101490,710,1,4,1886,5,2,150,720,2,3,5,NA,NA,2,6,10,710,1,4,1885,5,2,999999,9999999,720,0,3,0,NA,NA,2
6,10,101610,0,2,1,1898,5,1,0,999,6,3,0,NA,NA,2,6,10,710,2,1,1898,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,10,101780,0,1,6,1923,5,1,0,999,4,0,0,0,5,2,6,370,3730,1,1,1923,5,2,0,4050,290,6,0,4,NA,0,2
6,10,101780,0,2,1,1904,5,1,0,999,2,0,0,NA,NA,2,6,750,6290,2,1,1900,5,2,2650,2650,690,2,0,4,NA,NA,2
6,10,101800,0,2,1,1901,5,2,0,99,0,3,0,NA,NA,2,6,850,0,2,1,1901,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,10,101830,0,2,1,1915,5,2,0,830,6,0,0,NA,NA,2,6,370,3730,2,1,1914,5,2,999998,9999998,690,0,0,4,NA,NA,2
