STATENAM,NHGISNAM,NHGISST,NHGISCTY
South Carolina,Abbeville,450,0010
Louisiana,Acadia,220,0010
Virginia,Accomack,510,0010
Idaho,Ada,160,0010
Iowa,Adair,190,0010
Kentucky,Adair,210,0010
Missouri,Adair,290,0010
Oklahoma,Adair,400,0010
Colorado,Adams,080,0010
Idaho,Adams,160,0030
Illinois,Adams,170,0010
Indiana,Adams,180,0010
Iowa,Adams,190,0030
Mississippi,Adams,280,0010
Nebraska,Adams,310,0010
North Dakota,Adams,380,0010
Ohio,Adams,390,0010
Pennsylvania,Adams,420,0010
Washington,Adams,530,0010
Wisconsin,Adams,550,0010
Vermont,Addison,500,0010
South Carolina,Aiken,450,0030
Minnesota,Aitkin,270,0010
Florida,Alachua,120,0010
North Carolina,Alamance,370,0010
California,Alameda,060,0010
Colorado,Alamosa,080,0030
New York,Albany,360,0010
Wyoming,Albany,560,0010
Virginia,Albemarle,510,0030
Michigan,Alcona,260,0010
Mississippi,Alcorn,280,0030
Illinois,Alexander,170,0030
North Carolina,Alexander,370,0030
Virginia,Alexandria City,510,5100
Oklahoma,Alfalfa,400,0030
Michigan,Alger,260,0030
Iowa,Allamakee,190,0050
Michigan,Allegan,260,0050
Maryland,Allegany,240,0010
New York,Allegany,360,0030
North Carolina,Alleghany,370,0050
Virginia,Alleghany,510,0050
Pennsylvania,Allegheny,420,0030
Indiana,Allen,180,0030
Kansas,Allen,200,0010
Kentucky,Allen,210,0030
Louisiana,Allen,220,0030
Ohio,Allen,390,0030
South Carolina,Allendale,450,0050
Michigan,Alpena,260,0070
California,Alpine,060,0030
California,Amador,060,0050
Virginia,Amelia,510,0070
Virginia,Amherst,510,0090
Mississippi,Amite,280,0050
Kansas,Anderson,200,0030
Kentucky,Anderson,210,0050
South Carolina,Anderson,450,0070
Tennessee,Anderson,470,0010
Texas,Anderson,480,0010
Missouri,Andrew,290,0030
Texas,Andrews,480,0030
Maine,Androscoggin,230,0010
Texas,Angelina,480,0050
