state,county,NHGISST,NHGISCTY,sex,birthyr,birthplace,n_z_I,p_z_I,STATEFIP,COUNTYICP,n_z,p_z,pr_intern
Alabama,Jefferson,010,0730,1,1921,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1879,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1886,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1891,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1904,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1908,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1911,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1911,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1912,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1913,11,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1915,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1915,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1916,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1916,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1918,11,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1918,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1920,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1921,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1921,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1923,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1924,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1925,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1926,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1927,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1929,81,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1930,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1930,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1931,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1933,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1934,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1937,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1938,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1939,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,1,1941,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1887,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1888,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1889,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1890,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1894,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1895,92,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1895,94,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1895,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1897,94,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1897,97,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1898,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1899,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1902,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1905,99,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1906,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1907,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1914,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1918,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1918,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1919,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1920,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1921,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1922,81,4,3.69099029269553e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1923,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1923,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1926,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1927,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1927,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1929,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1931,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1932,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1934,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1935,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1937,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1939,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1940,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1941,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1915,11,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1920,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1924,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,2,1918,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,2,1920,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1908,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1910,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1916,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1893,71,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1903,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1907,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1908,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1909,74,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1912,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1913,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1914,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1915,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1917,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1917,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1918,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1920,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
